product_id,price,currency,in_stock,scraped_at,source_site,source_url
farine-fleur-10kg,55.95,MAD,1,2026-09-04 01:36:56.538221,aswak,https://aswakassalam.com/produit/farine-fleur-10kg-kenz/
baguette-nature,3.5,MAD,1,2026-09-04 01:36:59.355447,aswak,https://aswakassalam.com/produit/baguette-a-lancienne-nature-as/
couscous-2kg,22.95,MAD,1,2026-09-04 01:37:01.883168,aswak,https://aswakassalam.com/produit/couscous-barquette-2kg/
huile-olive-1l,54.95,MAD,1,2026-09-04 01:37:04.792632,aswak,https://aswakassalam.com/produit/huile-dolive-vierge-1l-campo-sur/
beurre-1kg-centrale,83.95,MAD,1,2026-09-04 01:37:07.506711,aswak,https://aswakassalam.com/produit/beurre-1-kg-centrale/
raibi-jamila-16,32.95,MAD,1,2026-09-04 01:37:10.398174,aswak,https://aswakassalam.com/produit/pack-de-16-pots-raibi-jamila-165g-danone/
cuisse-poulet-1kg,39.9,MAD,1,2026-09-04 01:37:14.154290,aswak,https://aswakassalam.com/produit/cuisse-de-poulet-1kg/
filet-poulet-1kg,59.9,MAD,1,2026-09-04 01:37:17.185464,aswak,https://aswakassalam.com/produit/filet-de-poulet-1kg/
entrecote-boeuf-1kg,149.95,MAD,1,2026-09-04 01:37:19.917229,aswak,https://aswakassalam.com/produit/entrecote-de-boeuf-1kg/
thon-lot3-80g,24.5,MAD,1,2026-09-04 01:37:24.522541,aswak,https://aswakassalam.com/produit/lot-de-3-boites-de-thon-80g-janis/
carotte-1kg,8.5,MAD,1,2026-09-04 01:37:33.267394,aswak,https://aswakassalam.com/produit/carotte-1kg/
courgette-1kg,16.95,MAD,1,2026-09-04 01:37:42.504713,aswak,https://aswakassalam.com/produit/courgette-ronde-1kg/
citron-1kg,19.95,MAD,1,2026-09-04 01:37:50.980071,aswak,https://aswakassalam.com/produit/citron-1kg/
banane-import-1kg,19.95,MAD,1,2026-09-04 01:38:00.449007,aswak,https://aswakassalam.com/produit/banane-import-1kg/
ananas-piece,32.0,MAD,1,2026-09-04 01:38:08.601685,aswak,https://aswakassalam.com/produit/ananas-la-piece-1kg-a-1200kg/
fraise-250g,12.95,MAD,1,2026-09-04 01:38:16.380245,aswak,https://aswakassalam.com/produit/fraise-barquette-250/
lentilles-1kg,12.95,MAD,1,2026-09-04 01:38:23.739963,aswak,https://aswakassalam.com/produit/lentilles-1kg-janis-2/
mais-340g,12.5,MAD,1,2026-09-04 01:38:30.958326,aswak,https://aswakassalam.com/produit/boite-de-mais-340g-janis/
miel-850g,44.95,MAD,1,2026-09-04 01:38:38.234264,aswak,https://aswakassalam.com/produit/miel-toutes-fleurs-850g-jnane-el-aassal/
the-vert-sultan,36.95,MAD,1,2026-09-04 01:38:45.612658,aswak,https://aswakassalam.com/produit/lot-de-2-thes-verts-4011-en-filaments-200g-sultan/
cafe-java-2x200g,68.95,MAD,1,2026-09-04 01:38:54.187674,aswak,https://aswakassalam.com/produit/lot-de-2-cafes-moulus-java-timor-200g-dubois/
